,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,82.0,79.0,89, SW,10,0.0,29.79,0.0, Partly Cloudy,2021-06-14,2021-06-14 00:00:00
1,12:30 AM,82.0,79.0,89, SW,9,0.0,29.79,0.0, Partly Cloudy,2021-06-14,2021-06-14 00:30:00
2,1:00 AM,82.0,79.0,89, SW,9,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 01:00:00
3,1:30 AM,82.0,79.0,89, SW,10,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 01:30:00
4,2:00 AM,82.0,79.0,89, SW,9,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 02:00:00
5,2:30 AM,81.0,79.0,94, SW,8,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 02:30:00
6,3:00 AM,81.0,79.0,94, SW,8,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 03:00:00
7,3:30 AM,81.0,79.0,94, SW,8,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 03:30:00
8,4:00 AM,81.0,79.0,94, SW,8,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 04:00:00
9,4:30 AM,81.0,79.0,94, SW,7,0.0,29.76,0.0, Fair,2021-06-14,2021-06-14 04:30:00
10,5:00 AM,81.0,79.0,94, SW,8,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 05:00:00
11,5:30 AM,81.0,79.0,94, SW,7,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 05:30:00
12,6:00 AM,81.0,79.0,94, SW,8,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 06:00:00
13,6:30 AM,81.0,79.0,94, SW,8,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 06:30:00
14,7:00 AM,82.0,79.0,89, SW,9,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 07:00:00
15,7:30 AM,84.0,81.0,89, SW,6,0.0,29.76,0.0, Fair,2021-06-14,2021-06-14 07:30:00
16,8:00 AM,84.0,79.0,84, WSW,7,0.0,29.76,0.0, Fair,2021-06-14,2021-06-14 08:00:00
17,8:30 AM,86.0,79.0,79, WSW,9,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 08:30:00
18,9:00 AM,86.0,79.0,79, WSW,9,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 09:00:00
19,9:30 AM,88.0,79.0,75, W,10,0.0,29.76,0.0, Partly Cloudy,2021-06-14,2021-06-14 09:30:00
20,10:00 AM,90.0,79.0,70, W,10,0.0,29.76,0.0, Mostly Cloudy,2021-06-14,2021-06-14 10:00:00
21,10:30 AM,88.0,77.0,70, W,12,0.0,29.76,0.0, Mostly Cloudy,2021-06-14,2021-06-14 10:30:00
22,11:00 AM,91.0,77.0,63, WNW,12,0.0,29.73,0.0, Mostly Cloudy,2021-06-14,2021-06-14 11:00:00
23,11:30 AM,91.0,77.0,63, W,10,0.0,29.73,0.0, Mostly Cloudy,2021-06-14,2021-06-14 11:30:00
24,12:00 PM,91.0,75.0,59, W,13,0.0,29.73,0.0, Mostly Cloudy,2021-06-14,2021-06-14 12:00:00
25,12:30 PM,91.0,75.0,59, W,10,0.0,29.73,0.0, Mostly Cloudy,2021-06-14,2021-06-14 12:30:00
26,1:00 PM,91.0,75.0,59, WNW,13,0.0,29.7,0.0, Partly Cloudy,2021-06-14,2021-06-14 13:00:00
